Item,Verb,PD,DO,Animacy,Displacement
1,assign,the worker to the manager,the manager the worker,Animate,In Situ
1,assign,the work to the manager,the manager the work,Inanimate,In Situ
1,assign,to the manager,the manager,Animate,Moved
1,assign,to the manager,the manager,Inanimate,Moved
2,recommend,the musician to the composer,the composer the musician,Animate,In Situ
2,recommend,the music to the composer,the composer the music,Inanimate,In Situ
2,recommend,to the composer,the composer,Animate,Moved
2,recommend,to the composer,the composer,Inanimate,Moved
3,bring,the painter to the curator,the curator the painter,Animate,In Situ
3,bring,the painting to the curator,the curator the painting,Inanimate,In Situ
3,bring,to the curator,the curator,Animate,Moved
3,bring,to the curator,the curator,Inanimate,Moved
4,give,the toddler to the father,the father the toddler,Animate,In Situ
4,give,the stroller to the father,the father the stroller,Inanimate,In Situ
4,give,to the father,the father,Animate,Moved
4,give,to the father,the father,Inanimate,Moved
5,assign,the cashier to the trainee,the trainee the cashier,Animate,In Situ
5,assign,the register to the trainee,the trainee the register,Inanimate,In Situ
5,assign,to the trainee,the trainee,Animate,Moved
5,assign,to the trainee,the trainee,Inanimate,Moved
6,bring,the driver to the traveler,the traveler the driver,Animate,In Situ
6,bring,the taxi to the traveler,the traveler the taxi,Inanimate,In Situ
6,bring,to the traveler,the traveler,Animate,Moved
6,bring,to the traveler,the traveler,Inanimate,Moved
7,give,the baby to the nanny,the nanny the baby,Animate,In Situ
7,give,the cradle to the nanny,the nanny the cradle,Inanimate,In Situ
7,give,to the nanny,the nanny,Animate,Moved
7,give,to the nanny,the nanny,Inanimate,Moved
8,assign,the therapist to the patient,the patient the therapist,Animate,In Situ
8,assign,the therapy to the patient,the patient the therapy ,Inanimate,In Situ
8,assign,to the patient,the patient,Animate,Moved
8,assign,to the patient,the patient,Inanimate,Moved
9,promise,the intern to the administrator,the administrator the intern,Animate,In Situ
9,promise,the assistance to the administrator,the administrator the assistance,Inanimate,In Situ
9,promise,to the administrator,the administrator,Animate,Moved
9,promise,to the administrator,the administrator,Inanimate,Moved
10,show,the dancer to the guest,the guest the dancer,Animate,In Situ
10,show,the dance to the guest ,the guest the dance,Inanimate,In Situ
10,show,to the guest,the guest,Animate,Moved
10,show,to the guest ,the guest,Inanimate,Moved
11,bring,the doctor to the patient,the patient the doctor,Animate,In Situ
11,bring,the medicine to the patient,the patient the medicine,Inanimate,In Situ
11,bring,to the patient,the patient ,Animate,Moved
11,bring,to the patient,the patient ,Inanimate,Moved
12,recommend,the pilot to the passenger,the passenger the pilot,Animate,In Situ
12,recommend,the plane to the passenger,the passenger the plane,Inanimate,In Situ
12,recommend,to the passenger,the passenger,Animate,Moved
12,recommend,to the passenger,the passenger,Inanimate,Moved
13,assign,the designer to the actor,the actor the designer,Animate,In Situ
13,assign,the design to the actor,the actor the design,Inanimate,In Situ
13,assign,to the actor,the actor,Animate,Moved
13,assign,to the actor,the actor,Inanimate,Moved
14,show,the painter to the student,the student the painter,Animate,In Situ
14,show,the painting to the student,the student the painting,Inanimate,In Situ
14,show,to the student,the student,Animate,Moved
14,show,to the student,the student,Inanimate,Moved
15,promise,the contractor to the boss,the boss the contractor,Animate,In Situ
