"","Subject","MD5","TrialType","Number","Element","Experiment","Item","Question","Response","null","RT"
"187",1606844558,"e972b5f86147c8950466575a2c110e0a","Form",3,0,"debrief","NULL","debrief1","Some ended in prepositions.","",NA
"188",1606844558,"e972b5f86147c8950466575a2c110e0a","Form",3,0,"debrief","NULL","debrief3","They were somewhat repetitive.","",NA
"189",1606844558,"e972b5f86147c8950466575a2c110e0a","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be the road itself. The most interesting thing would be the mountains.","",NA
"190",1606844558,"e972b5f86147c8950466575a2c110e0a","Form",3,0,"debrief","NULL","debrief5","Nope%2C thanks!","",NA
"191",1606844558,"e972b5f86147c8950466575a2c110e0a","Form",3,0,"debrief","NULL","prolificID","5e4465013f75e52fc82f7096","",NA
"378",1606844787,"8d65dcc338ec2eeee194df50cd92e113","Form",3,0,"debrief","NULL","debrief1","Never end a sentence with a preposition. This made me change some of my choices.","",NA
"379",1606844787,"8d65dcc338ec2eeee194df50cd92e113","Form",3,0,"debrief","NULL","debrief3","Possible misspelling. Not sure at this speed%2C however.","",NA
"380",1606844787,"8d65dcc338ec2eeee194df50cd92e113","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be everyday traffic. The most interesting would be a gator in the road. Or if I were to pick something that wouldn't actually occur around here - a dinosaur in the road. ","",NA
"381",1606844787,"8d65dcc338ec2eeee194df50cd92e113","Form",3,0,"debrief","NULL","debrief5","no","",NA
"382",1606844787,"8d65dcc338ec2eeee194df50cd92e113","Form",3,0,"debrief","NULL","prolificID","5a2f0b6f4b60fe00019b1e12","",NA
"569",1606844825,"19f9da0e97e11359ef8efa78c77038aa","Form",3,0,"debrief","NULL","debrief1","I don't remember verbatim but some *did* seem awkward.","",NA
"570",1606844825,"19f9da0e97e11359ef8efa78c77038aa","Form",3,0,"debrief","NULL","debrief3","the answers with the word to somewhere in them seemed to make more sense to me.","",NA
"571",1606844825,"19f9da0e97e11359ef8efa78c77038aa","Form",3,0,"debrief","NULL","debrief4","Most boring would probably be all the cars%2C most interesting would probably be the people inside the cars%2C and of course all the tchotchkes scattered along the ground at red lights and crossings. LoL","",NA
"572",1606844825,"19f9da0e97e11359ef8efa78c77038aa","Form",3,0,"debrief","NULL","debrief5","None. This was lots of fun. Thank you so much and BEST OF LUCK to you in your studies!! :-)","",NA
"573",1606844825,"19f9da0e97e11359ef8efa78c77038aa","Form",3,0,"debrief","NULL","prolificID","5d233095c1c6bf0019048f38","",NA
"760",1606844903,"f89149b46277f2f13dc06f207fffe3d2","Form",3,0,"debrief","NULL","debrief1","Some of the options seemed incorrect%2C but most were correct.  I don't remember any specific instances that were incorrect%2C but I recall thinking that sometimes the other option seemed wrong rather than just worse.","",NA
"761",1606844903,"f89149b46277f2f13dc06f207fffe3d2","Form",3,0,"debrief","NULL","debrief3","Many of them concerned if there should be a to in the second half.  They also concerned the order that nouns should go if they were assigned/given/shown/etc.","",NA
"762",1606844903,"f89149b46277f2f13dc06f207fffe3d2","Form",3,0,"debrief","NULL","debrief4","Most boring: various houses that all pretty much look the same.%0AMost interesting: there are some mountains that look pretty nice.","",NA
"763",1606844903,"f89149b46277f2f13dc06f207fffe3d2","Form",3,0,"debrief","NULL","debrief5","no","",NA
"764",1606844903,"f89149b46277f2f13dc06f207fffe3d2","Form",3,0,"debrief","NULL","prolificID","5a539d0276d1c60001aabd76","",NA
"951",1606845168,"d55cc662a9fa010a1777712da398ae2c","Form",3,0,"debrief","NULL","debrief1","I found the sentences ending in to to be grammatically incorrect.  For instance%2C I remembered the patient the doctor gave the medication to.  However%2C I chose options like these because including the word to sounded more clear to me compared to I remembered the patient the doctor gave the medication.  I usually do not end my sentences in prepositions even in casual conversation%2C favoring structures like the patient to whom the doctor gave the medication%2C but I recognize most people don't do that in informal settings.","",NA
"952",1606845168,"d55cc662a9fa010a1777712da398ae2c","Form",3,0,"debrief","NULL","debrief3","A lot of the sentences that were structured using to sounded more American/Canadian%2C while those structured without using to sounded more British.  The latter structure is also similar to how sentences are set up in Spanish%2C since the word to is implied in many cases.","",NA
"953",1606845168,"d55cc662a9fa010a1777712da398ae2c","Form",3,0,"debrief","NULL","debrief4","There are a few sections of the road on the way to the grocery store where the only view is thick forest immediately on either side of the road.  I consider these the boring parts%2C except in autumn when they are many different hues.  The rest of the way is filled with people's houses and open fields%2C which I find much more interesting to look at because they all have a quaint rural charm.  The architecture is mostly cottage-style or barnlike%2C and people often put personal touches on their front doors or mailboxes.  Many of the fields are filled with farms or animals.","",NA
"954",1606845168,"d55cc662a9fa010a1777712da398ae2c","Form",3,0,"debrief","NULL","debrief5","No.  The short breaks were perfect for me.  I did not need to take every break that I was given the chance to take%2C but the option to do so helped break up the experiment.","",NA
"955",1606845168,"d55cc662a9fa010a1777712da398ae2c","Form",3,0,"debrief","NULL","prolificID","5fab2e91824fc35fd6090f2d","",NA
"1142",1606845201,"4d9e2e5a1efa01554321094a5629a93c","Form",3,0,"debrief","NULL","debrief1","Some of the sentence completions ended with a preposition%2C which is technically incorrect. Often times%2C these sounded better than the alternative%2C so I chose them%2C but I would not have used them in formal writing.","",NA
"1143",1606845201,"4d9e2e5a1efa01554321094a5629a93c","Form",3,0,"debrief","NULL","debrief3","There were varying levels of authority/power for the subject vs. object. Many of the sentence completion options had me choose between using a preposition vs. not using a preposition. The preposition option was wordier but more specific.","",NA
